transaction_id,product_id,return_date,reason
T20250021435,P0108,2026-06-25,Customer Changed Mind
T20250017468,P0246,2025-02-07,Customer Changed Mind
T20260075673,P0404,2026-04-05,Wrong Item
T20250079759,P0453,2026-01-06,Customer Changed Mind
T20260107599,P0194,2026-10-14,Wrong Item
T20260120720,P0232,2026-08-18,Wrong Item
T20260003801,P0398,2026-05-13,Customer Changed Mind
T20250092266,P0267,2026-08-09,Wrong Item
T20260057329,P0401,2026-06-19,Damaged
T20260093955,P0025,2026-08-01,Customer Changed Mind
T20260138928,P0161,2025-10-16,Damaged
T20260036600,P0463,2026-05-21,Damaged
T20250048005,P0124,2025-05-10,Customer Changed Mind
T20260062520,P0145,2026-04-14,Damaged
T20260144075,P0152,2026-03-27,Customer Changed Mind
T20250131575,P0368,2026-12-27,Customer Changed Mind
T20260052057,P0155,2025-06-10,Wrong Item
T20260089160,P0122,2025-04-17,Wrong Item
T20250092611,P0369,2026-01-09,Customer Changed Mind
T20260118351,P0009,2026-11-29,Damaged
T20260109109,P0235,2026-05-26,Damaged
T20260115328,P0378,2026-11-27,Damaged
T20260079144,P0131,2025-12-24,Wrong Item
T20260111302,P0399,2026-03-03,Damaged
T20250084117,P0242,2025-03-22,Damaged
T20250031189,P0336,2025-04-21,Wrong Item
T20250107254,P0407,2025-11-14,Customer Changed Mind
T20260042798,P0474,2025-08-31,Damaged
T20250028083,P0459,2025-10-19,Damaged
T20250118789,P0189,2025-03-13,Customer Changed Mind
T20250002152,P0065,2026-05-06,Damaged
T20260137026,P0310,2025-11-10,Damaged
T20260099169,P0418,2025-12-20,Customer Changed Mind
T20250137539,P0014,2025-08-28,Damaged
T20250046291,P0122,2025-10-12,Damaged
T20250030233,P0440,2026-08-28,Wrong Item
T20260025145,P0372,2025-10-23,Customer Changed Mind
T20250050676,P0401,2026-03-02,Customer Changed Mind
T20250071570,P0246,2025-09-14,Customer Changed Mind
T20260069843,P0005,2026-11-24,Damaged
T20250036279,P0042,2025-12-28,Wrong Item
T20250066052,P0069,2025-07-11,Customer Changed Mind
T20260102609,P0308,2026-08-21,Damaged
T20250024783,P0277,2026-07-05,Wrong Item
T20260149327,P0011,2025-12-06,Customer Changed Mind
T20250095349,P0407,2026-08-13,Damaged
T20250046332,P0044,2025-10-31,Customer Changed Mind
T20250091240,P0339,2025-07-19,Wrong Item
T20250005445,P0499,2026-03-29,Wrong Item
T20260122876,P0284,2025-02-16,Damaged
T20250043811,P0169,2025-10-22,Damaged
T20260067082,P0229,2026-05-16,Wrong Item
T20250100370,P0310,2026-02-01,Damaged
T20260108874,P0345,2025-02-26,Damaged
T20250121949,P0455,2025-12-05,Wrong Item
T20260062950,P0137,2025-04-09,Customer Changed Mind
T20260050057,P0078,2026-08-05,Wrong Item
T20260079177,P0421,2025-10-26,Damaged
T20260137838,P0040,2026-05-09,Wrong Item
T20260063118,P0268,2025-12-26,Wrong Item
T20260026475,P0356,2025-07-12,Damaged
T20250118176,P0124,2025-08-28,Wrong Item
T20260059024,P0374,2026-09-21,Wrong Item
T20260071906,P0443,2025-07-29,Damaged
T20250042493,P0480,2025-02-06,Damaged
T20260073728,P0159,2025-03-01,Damaged
T20250141993,P0461,2025-08-22,Damaged
T20250055675,P0140,2026-08-23,Customer Changed Mind
T20260074087,P0290,2026-06-02,Customer Changed Mind
T20250083655,P0163,2026-01-21,Wrong Item
T20250061917,P0383,2025-07-09,Wrong Item
T20260003665,P0022,2025-03-26,Damaged
T20260005758,P0203,2026-06-10,Damaged
T20260040393,P0403,2026-03-08,Damaged
T20260081050,P0044,2026-12-20,Customer Changed Mind
T20260051122,P0346,2026-09-14,Customer Changed Mind
T20250059267,P0320,2026-09-10,Customer Changed Mind
T20260112487,P0481,2026-06-30,Damaged
T20260038582,P0246,2026-07-05,Damaged
T20250131814,P0046,2025-04-01,Customer Changed Mind
T20250073949,P0154,2025-10-15,Customer Changed Mind
T20260004308,P0299,2025-05-20,Customer Changed Mind
T20260017194,P0368,2025-08-24,Damaged
T20260127393,P0308,2026-08-04,Damaged
T20260046835,P0413,2025-05-19,Damaged
T20250091690,P0095,2026-01-18,Damaged
T20260012086,P0300,2026-05-09,Customer Changed Mind
T20260081058,P0165,2026-10-16,Wrong Item
T20250054120,P0182,2026-05-07,Customer Changed Mind
T20260097858,P0338,2026-12-14,Customer Changed Mind
T20250098092,P0011,2026-02-16,Damaged
T20260121915,P0300,2025-04-18,Wrong Item
T20250044677,P0048,2025-07-19,Damaged
T20250056078,P0245,2025-10-05,Damaged
T20250129375,P0108,2025-02-21,Customer Changed Mind
T20250133361,P0420,2026-08-30,Customer Changed Mind
T20250085866,P0449,2025-12-02,Wrong Item
T20260041559,P0263,2025-04-11,Damaged
T20260068728,P0361,2025-04-26,Customer Changed Mind
T20260058771,P0291,2026-11-03,Damaged
T20250109195,P0371,2025-03-05,Damaged
T20250039549,P0024,2026-02-07,Wrong Item
T20260019828,P0424,2026-10-07,Damaged
T20250057416,P0245,2026-01-26,Wrong Item
T20250033193,P0425,2025-10-01,Damaged
T20260023865,P0251,2025-07-05,Customer Changed Mind
T20250050919,P0201,2025-12-02,Customer Changed Mind
T20250108504,P0194,2026-09-26,Customer Changed Mind
T20250072963,P0395,2025-12-05,Damaged
T20260120712,P0440,2026-11-14,Wrong Item
T20250063504,P0184,2026-11-21,Damaged
T20250026896,P0060,2025-01-16,Damaged
T20260111152,P0279,2026-01-06,Damaged
T20250008838,P0499,2026-03-02,Customer Changed Mind
T20250016064,P0108,2026-12-04,Wrong Item
T20250107661,P0079,2025-03-16,Damaged
T20250130161,P0318,2025-05-15,Damaged
T20260029573,P0433,2026-10-19,Damaged
T20250116121,P0139,2026-04-10,Customer Changed Mind
T20250032234,P0378,2025-10-30,Wrong Item
T20260041736,P0283,2026-05-14,Wrong Item
T20250057456,P0446,2025-08-15,Wrong Item
T20260010502,P0367,2026-08-21,Damaged
T20260065795,P0358,2025-05-15,Wrong Item
T20250126714,P0303,2025-06-08,Customer Changed Mind
T20260023047,P0393,2025-07-29,Wrong Item
T20250097726,P0105,2025-08-07,Wrong Item
T20260043811,P0349,2026-01-15,Customer Changed Mind
T20250017156,P0447,2026-08-08,Wrong Item
T20250071055,P0204,2025-01-07,Wrong Item
T20260043990,P0159,2025-01-02,Damaged
T20250052059,P0123,2026-12-09,Wrong Item
T20260124757,P0078,2026-05-07,Customer Changed Mind
T20250001558,P0092,2025-12-31,Wrong Item
T20260103081,P0046,2025-05-06,Wrong Item
T20260031909,P0295,2026-12-04,Damaged
T20250145269,P0265,2026-05-30,Customer Changed Mind
T20260036660,P0367,2026-04-22,Wrong Item
T20250006479,P0315,2026-11-23,Customer Changed Mind
T20260099414,P0348,2026-10-09,Damaged
T20250043182,P0361,2025-01-07,Customer Changed Mind
T20260098529,P0483,2025-05-05,Damaged
T20250125724,P0221,2026-08-22,Customer Changed Mind
T20260064268,P0395,2026-02-21,Wrong Item
T20260120767,P0403,2026-12-31,Customer Changed Mind
T20250141103,P0402,2025-02-03,Customer Changed Mind
T20260142203,P0061,2026-09-15,Wrong Item
T20250062008,P0095,2026-07-03,Wrong Item
T20250089122,P0251,2025-02-17,Customer Changed Mind
T20250047736,P0198,2026-10-02,Damaged
T20260072505,P0365,2026-11-16,Customer Changed Mind
T20250029628,P0176,2025-10-22,Damaged
T20260052216,P0459,2025-01-11,Wrong Item
T20260044828,P0194,2026-04-03,Wrong Item
T20250018649,P0448,2026-05-30,Wrong Item
T20260049020,P0377,2026-07-20,Damaged
T20250111554,P0373,2026-12-23,Wrong Item
T20260094687,P0182,2026-11-12,Customer Changed Mind
T20260080919,P0241,2025-06-08,Wrong Item
T20250042397,P0296,2026-06-10,Wrong Item
T20260071946,P0196,2025-06-15,Wrong Item
T20260018390,P0383,2025-12-23,Customer Changed Mind
T20260025576,P0455,2025-05-15,Wrong Item
T20260003541,P0072,2026-03-03,Wrong Item
T20250074055,P0455,2025-08-24,Wrong Item
T20260083828,P0358,2025-02-22,Wrong Item
T20250131312,P0368,2025-08-09,Customer Changed Mind
T20260074154,P0034,2025-04-15,Customer Changed Mind
T20260116743,P0493,2026-01-08,Customer Changed Mind
T20250015594,P0222,2026-07-01,Customer Changed Mind
T20260077419,P0007,2025-06-03,Customer Changed Mind
T20250115531,P0343,2025-08-20,Damaged
T20250012282,P0419,2025-04-26,Wrong Item
T20250021847,P0029,2026-06-19,Customer Changed Mind
T20250086772,P0046,2026-03-10,Damaged
T20260043139,P0170,2025-11-14,Wrong Item
T20250100472,P0078,2026-10-26,Wrong Item
T20260027774,P0367,2026-05-07,Wrong Item
T20260074462,P0029,2026-07-05,Customer Changed Mind
T20260105020,P0223,2026-01-11,Wrong Item
T20250140852,P0156,2026-11-26,Customer Changed Mind
T20250006484,P0457,2026-08-20,Wrong Item
T20250097191,P0069,2025-06-12,Customer Changed Mind
T20260068796,P0419,2026-08-19,Customer Changed Mind
T20250146934,P0235,2025-02-09,Wrong Item
T20260033990,P0188,2026-10-21,Customer Changed Mind
T20260000347,P0230,2025-10-02,Customer Changed Mind
T20260141295,P0380,2025-07-08,Damaged
T20260025531,P0326,2025-02-06,Damaged
T20250080284,P0065,2025-04-02,Damaged
T20250064297,P0222,2025-06-20,Customer Changed Mind
T20260071587,P0203,2026-08-30,Customer Changed Mind
T20250145984,P0121,2026-07-27,Wrong Item
T20260116813,P0065,2025-03-14,Wrong Item
T20250053725,P0425,2026-12-29,Damaged
T20260021137,P0345,2026-10-17,Wrong Item
T20260062764,P0033,2026-08-23,Damaged
T20250030683,P0257,2025-07-11,Wrong Item
T20260054086,P0037,2025-01-04,Wrong Item
T20250078594,P0305,2025-01-02,Wrong Item
T20260012787,P0160,2026-08-24,Damaged
T20260062279,P0215,2025-12-06,Customer Changed Mind
T20250033141,P0296,2025-04-29,Damaged
T20250013870,P0471,2025-07-11,Customer Changed Mind
T20260055831,P0275,2025-01-15,Wrong Item
T20260135806,P0440,2025-11-06,Wrong Item
T20250013820,P0464,2026-03-29,Damaged
T20260048918,P0305,2025-01-26,Damaged
T20260015989,P0401,2025-06-14,Customer Changed Mind
T20250081377,P0416,2025-03-22,Customer Changed Mind
T20250149867,P0465,2025-05-11,Wrong Item
T20260042119,P0108,2025-04-30,Damaged
T20260030210,P0206,2026-07-14,Customer Changed Mind
T20250147051,P0006,2025-04-07,Customer Changed Mind
T20250127638,P0343,2025-01-11,Customer Changed Mind
T20260141867,P0209,2026-04-15,Wrong Item
T20260028582,P0225,2025-11-14,Customer Changed Mind
T20250127544,P0425,2025-11-29,Wrong Item
T20260085717,P0296,2025-09-03,Customer Changed Mind
T20260021723,P0485,2026-05-03,Customer Changed Mind
T20260011574,P0240,2026-03-18,Customer Changed Mind
T20250075409,P0188,2026-09-27,Wrong Item
T20250090035,P0008,2025-01-18,Damaged
T20250042840,P0175,2026-04-13,Customer Changed Mind
T20250008581,P0093,2026-08-23,Damaged
T20250013664,P0234,2026-01-27,Wrong Item
T20260097464,P0033,2026-09-21,Damaged
T20250096424,P0380,2026-01-07,Wrong Item
T20260044898,P0445,2025-03-24,Damaged
T20260133532,P0325,2026-06-23,Customer Changed Mind
T20250069531,P0358,2025-09-12,Damaged
T20260087884,P0145,2026-12-13,Customer Changed Mind
T20260111893,P0190,2025-02-13,Wrong Item
T20260000376,P0193,2026-02-24,Damaged
T20260032443,P0154,2025-10-28,Wrong Item
T20260074406,P0336,2025-11-17,Wrong Item
T20260021332,P0430,2025-05-12,Wrong Item
T20250140442,P0466,2026-11-06,Wrong Item
T20260004939,P0147,2025-09-18,Damaged
T20250131259,P0242,2025-09-19,Wrong Item
T20260012293,P0142,2025-01-26,Customer Changed Mind
T20260142709,P0335,2025-10-30,Damaged
T20260114845,P0309,2026-03-03,Customer Changed Mind
T20260016131,P0169,2025-06-29,Damaged
T20250132328,P0480,2025-03-09,Customer Changed Mind
T20260058063,P0023,2025-06-19,Damaged
T20250048322,P0033,2025-02-14,Wrong Item
T20250016624,P0499,2025-04-21,Customer Changed Mind
T20250004734,P0245,2025-01-08,Damaged
T20260039590,P0392,2026-12-12,Wrong Item
T20250101739,P0081,2026-08-28,Damaged
T20250111000,P0133,2025-04-08,Customer Changed Mind
T20260048444,P0123,2025-05-14,Damaged
T20250016638,P0012,2025-08-13,Damaged
T20250055638,P0082,2026-03-06,Wrong Item
T20260108788,P0196,2025-03-04,Customer Changed Mind
T20260088820,P0230,2025-12-29,Customer Changed Mind
T20250115603,P0017,2025-08-22,Damaged
T20260096939,P0108,2025-07-17,Damaged
T20260041530,P0045,2026-08-20,Wrong Item
T20250011213,P0142,2026-10-01,Damaged
T20250027388,P0265,2025-05-13,Wrong Item
T20260079061,P0191,2026-04-21,Wrong Item
T20260101977,P0120,2026-05-10,Damaged
T20250023366,P0308,2025-04-24,Customer Changed Mind
T20250010057,P0083,2026-07-27,Wrong Item
T20250112593,P0131,2026-10-14,Damaged
T20260118565,P0326,2026-01-21,Customer Changed Mind
T20260007455,P0279,2025-11-06,Wrong Item
T20250059187,P0389,2026-06-08,Customer Changed Mind
T20250070372,P0244,2026-07-09,Wrong Item
T20250126007,P0199,2025-04-18,Customer Changed Mind
T20260047380,P0140,2026-09-20,Customer Changed Mind
T20260121738,P0375,2025-01-16,Damaged
T20260044635,P0032,2025-03-01,Wrong Item
T20260015242,P0313,2026-05-06,Customer Changed Mind
T20250047838,P0391,2025-08-08,Customer Changed Mind
T20250029771,P0031,2026-03-18,Damaged
T20260107199,P0496,2025-08-07,Wrong Item
T20250061814,P0401,2026-05-07,Customer Changed Mind
T20260058348,P0400,2026-11-03,Damaged
T20260041265,P0173,2026-03-28,Damaged
T20250002157,P0296,2025-03-27,Wrong Item
T20260038784,P0050,2025-06-04,Damaged
T20250095787,P0282,2025-11-09,Customer Changed Mind
T20260088436,P0172,2025-12-03,Wrong Item
T20260089163,P0311,2025-09-28,Wrong Item
T20260145072,P0468,2025-05-12,Wrong Item
T20250104338,P0014,2025-09-15,Customer Changed Mind
T20260141607,P0366,2025-06-07,Damaged
T20250021708,P0106,2025-06-24,Customer Changed Mind
T20250143149,P0063,2026-04-26,Wrong Item
T20250137148,P0197,2026-02-01,Damaged
T20250078780,P0158,2025-08-13,Damaged
T20250092536,P0158,2026-08-30,Damaged
T20260121294,P0486,2026-12-22,Damaged
T20250079847,P0100,2026-03-14,Customer Changed Mind
T20260124306,P0368,2026-10-07,Wrong Item
T20260003714,P0095,2025-12-13,Damaged
T20250117114,P0353,2026-11-10,Customer Changed Mind
T20260145580,P0121,2026-08-08,Damaged
T20260003341,P0074,2026-12-20,Damaged
T20260092231,P0429,2025-05-30,Customer Changed Mind
T20250017420,P0481,2026-06-27,Wrong Item
T20250052376,P0078,2026-04-12,Wrong Item
T20250071440,P0003,2025-05-05,Wrong Item
T20260104000,P0261,2025-01-05,Wrong Item
T20260049108,P0301,2025-10-21,Damaged
T20250146464,P0219,2026-08-13,Damaged
T20260004057,P0338,2026-08-15,Damaged
T20260126394,P0487,2025-02-10,Customer Changed Mind
T20250106502,P0337,2025-01-14,Customer Changed Mind
T20250084374,P0321,2025-01-28,Damaged
T20260103180,P0419,2025-08-21,Damaged
T20260086365,P0112,2026-08-10,Wrong Item
T20260032279,P0213,2025-05-27,Customer Changed Mind
T20260071109,P0143,2025-02-26,Customer Changed Mind
T20260139706,P0037,2025-08-16,Wrong Item
T20260141438,P0012,2026-03-30,Wrong Item
T20250071066,P0221,2026-12-19,Damaged
T20250122789,P0402,2026-09-14,Damaged
T20260044910,P0348,2026-09-14,Damaged
T20250145391,P0491,2025-08-07,Wrong Item
T20260049164,P0326,2025-11-22,Customer Changed Mind
T20260116382,P0046,2025-07-15,Wrong Item
T20260121414,P0171,2025-12-01,Damaged
T20260017801,P0220,2025-01-16,Wrong Item
T20250061371,P0067,2026-07-24,Wrong Item
T20260078790,P0140,2025-09-15,Damaged
T20260140878,P0424,2025-10-02,Customer Changed Mind
T20250144980,P0077,2026-11-30,Damaged
T20250119483,P0039,2025-07-21,Wrong Item
T20250018604,P0407,2026-04-26,Customer Changed Mind
T20250138393,P0382,2025-01-25,Damaged
T20250083163,P0078,2025-04-27,Wrong Item
T20250077727,P0431,2025-01-05,Wrong Item
T20260074928,P0015,2025-04-10,Damaged
T20250028596,P0082,2025-06-10,Customer Changed Mind
T20260007996,P0338,2025-01-09,Customer Changed Mind
T20250108954,P0212,2025-05-03,Customer Changed Mind
T20260050857,P0200,2025-09-01,Customer Changed Mind
T20250072173,P0159,2026-03-29,Wrong Item
T20250106183,P0251,2025-01-30,Wrong Item
T20250012328,P0181,2026-07-28,Wrong Item
T20260114481,P0435,2025-08-13,Wrong Item
T20250096134,P0135,2026-04-05,Customer Changed Mind
T20250129425,P0443,2025-01-07,Damaged
T20250080441,P0089,2025-06-17,Customer Changed Mind
T20260110522,P0392,2025-12-07,Damaged
T20250072154,P0242,2026-08-20,Wrong Item
T20250093234,P0188,2025-06-01,Customer Changed Mind
T20250058502,P0134,2026-02-19,Damaged
T20260127308,P0134,2026-12-27,Customer Changed Mind
T20260001009,P0499,2026-06-29,Wrong Item
T20250090763,P0287,2025-07-03,Customer Changed Mind
T20260125585,P0200,2025-12-04,Customer Changed Mind
T20250077424,P0285,2026-05-16,Damaged
T20250050947,P0282,2026-02-17,Wrong Item
T20250086003,P0105,2026-10-11,Customer Changed Mind
T20260052926,P0141,2025-08-07,Customer Changed Mind
T20250052894,P0336,2025-12-02,Wrong Item
T20260002519,P0304,2026-12-03,Damaged
T20250145898,P0447,2025-01-10,Wrong Item
T20250133627,P0241,2026-04-07,Wrong Item
T20250113025,P0256,2026-12-10,Wrong Item
T20260066655,P0328,2026-01-04,Wrong Item
T20260023878,P0075,2026-10-31,Customer Changed Mind
T20250073954,P0221,2025-03-22,Customer Changed Mind
T20260107397,P0497,2025-04-12,Customer Changed Mind
T20250103663,P0374,2025-10-04,Wrong Item
T20260131910,P0096,2025-09-13,Customer Changed Mind
T20250104079,P0299,2026-04-22,Wrong Item
T20250083563,P0310,2026-11-20,Wrong Item
T20250028436,P0048,2025-09-26,Wrong Item
T20260056395,P0352,2026-01-18,Wrong Item
T20260089720,P0003,2026-04-15,Wrong Item
T20250035659,P0490,2026-11-17,Damaged
T20260117856,P0064,2025-01-13,Customer Changed Mind
T20250025953,P0352,2025-10-30,Damaged
T20250108843,P0155,2026-04-14,Damaged
T20250050565,P0304,2025-05-26,Customer Changed Mind
T20260091574,P0219,2026-12-08,Damaged
T20260064651,P0350,2026-07-08,Customer Changed Mind
T20250014904,P0201,2025-07-18,Customer Changed Mind
T20250142217,P0191,2025-12-01,Damaged
T20250053741,P0178,2026-07-03,Damaged
T20250017917,P0213,2026-01-05,Customer Changed Mind
T20250046527,P0489,2026-02-23,Customer Changed Mind
T20260104258,P0003,2025-08-11,Damaged
T20250117732,P0470,2025-06-30,Customer Changed Mind
T20250084721,P0075,2025-06-28,Wrong Item
T20260133229,P0064,2025-06-16,Wrong Item
T20260024501,P0274,2025-08-04,Damaged
T20250122944,P0436,2026-03-08,Wrong Item
T20250001934,P0129,2025-08-11,Wrong Item
T20260125793,P0176,2025-03-03,Damaged
T20250123228,P0204,2026-05-31,Customer Changed Mind
T20250024600,P0063,2025-09-01,Customer Changed Mind
T20260080991,P0065,2026-06-13,Wrong Item
T20250056772,P0272,2026-12-27,Wrong Item
T20250147503,P0190,2025-04-15,Wrong Item
T20250085741,P0238,2026-02-07,Wrong Item
T20250069716,P0249,2026-01-13,Damaged
T20260114260,P0237,2026-11-09,Wrong Item
T20250065737,P0374,2025-03-11,Wrong Item
T20250099254,P0014,2026-09-16,Customer Changed Mind
T20260073411,P0086,2026-06-03,Damaged
T20250116646,P0305,2026-03-17,Wrong Item
T20250075954,P0299,2025-12-09,Wrong Item
T20250125531,P0032,2026-05-31,Customer Changed Mind
T20260086312,P0308,2025-01-03,Wrong Item
T20250076948,P0409,2026-04-30,Customer Changed Mind
T20250145527,P0352,2025-07-10,Damaged
T20260014479,P0136,2026-05-22,Wrong Item
T20260132478,P0035,2025-09-09,Customer Changed Mind
T20250110104,P0466,2025-05-03,Customer Changed Mind
T20260126716,P0035,2025-10-07,Customer Changed Mind
T20250021142,P0463,2026-10-02,Damaged
T20260001238,P0446,2026-09-08,Wrong Item
T20260136033,P0231,2026-01-28,Customer Changed Mind
T20250094009,P0159,2026-01-23,Wrong Item
T20250109338,P0063,2025-06-29,Damaged
T20250148928,P0444,2026-11-25,Damaged
T20260136038,P0278,2025-10-31,Customer Changed Mind
T20250029163,P0464,2026-07-29,Wrong Item
T20260052367,P0485,2025-03-01,Wrong Item
T20250037813,P0112,2026-03-17,Wrong Item
T20250055174,P0408,2025-12-29,Wrong Item
T20250113507,P0258,2026-11-23,Customer Changed Mind
T20260050332,P0028,2025-04-20,Customer Changed Mind
T20260123190,P0177,2025-07-11,Damaged
T20260092354,P0426,2025-03-23,Wrong Item
T20250093315,P0122,2026-05-10,Wrong Item
T20260115463,P0279,2025-09-04,Damaged
T20260140432,P0103,2026-02-10,Customer Changed Mind
T20260087127,P0346,2025-09-11,Customer Changed Mind
T20250092371,P0377,2026-01-07,Wrong Item
T20250032067,P0153,2025-03-26,Damaged
T20260003031,P0273,2025-10-08,Damaged
T20260061606,P0407,2025-04-02,Damaged
T20260074439,P0124,2026-07-27,Damaged
T20250012783,P0483,2026-05-09,Wrong Item
T20260131291,P0409,2025-08-08,Customer Changed Mind
T20260131984,P0130,2025-04-08,Wrong Item
T20260115609,P0201,2025-09-23,Customer Changed Mind
T20260080594,P0108,2026-08-30,Customer Changed Mind
T20250022981,P0265,2025-04-21,Damaged
T20250068319,P0087,2026-05-24,Customer Changed Mind
T20250011283,P0460,2025-07-08,Wrong Item
T20250032854,P0047,2026-06-20,Damaged
T20260040653,P0366,2025-03-05,Damaged
T20260004922,P0010,2025-12-09,Customer Changed Mind
T20260047081,P0496,2026-06-27,Customer Changed Mind
T20250128025,P0314,2025-08-05,Wrong Item
T20250091677,P0499,2026-05-26,Wrong Item
T20250136087,P0010,2025-03-17,Wrong Item
T20260032705,P0376,2025-02-17,Damaged
T20260129387,P0380,2025-09-19,Damaged
T20250004956,P0375,2025-08-26,Damaged
T20260007145,P0246,2025-03-21,Customer Changed Mind
T20250048688,P0056,2025-08-23,Wrong Item
T20260099114,P0351,2026-09-01,Customer Changed Mind
T20250056226,P0362,2026-10-22,Wrong Item
T20250036312,P0133,2025-09-26,Customer Changed Mind
T20250105698,P0445,2026-03-09,Damaged
T20260079007,P0135,2026-03-26,Damaged
T20260026855,P0159,2026-01-04,Customer Changed Mind
T20250022354,P0010,2025-01-23,Customer Changed Mind
T20260057970,P0213,2025-12-22,Customer Changed Mind
T20260147214,P0344,2026-08-18,Damaged
T20250135511,P0123,2025-05-03,Wrong Item
T20260110469,P0344,2025-01-28,Customer Changed Mind
T20260143208,P0060,2025-12-15,Customer Changed Mind
T20250134761,P0360,2026-10-31,Damaged
T20260122312,P0103,2026-04-19,Customer Changed Mind
T20250145389,P0488,2026-06-24,Damaged
T20250032197,P0004,2026-07-15,Customer Changed Mind
T20260036084,P0381,2026-04-18,Customer Changed Mind
T20260121387,P0406,2026-02-06,Damaged
T20250132995,P0320,2025-03-30,Damaged
T20260042595,P0291,2026-12-24,Wrong Item
T20260140210,P0215,2026-07-04,Damaged
T20250083443,P0088,2026-06-04,Customer Changed Mind
